oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
gum,adult,10000,32,2,1.0,0,0.05004500284124442,0.013963587950168332,84.41026163101196
convex,stroke,10000,8,2,1.0,0,0.06015474857442032,0.009383894319753415,67.80762386322021
gum,msnbc,10000,32,2,0.31622776601683794,0,0.002197485165336653,0.0019567420014916003,19.65375328063965
gum,msnbc,10000,32,2,0.03162277660168379,0,0.021863019572830173,0.016190835452478076,22.341416120529175
gum,msnbc,10000,32,2,0.1,0,0.006922223164710762,0.005859467257540494,22.11518907546997
gum,msnbc,10000,32,2,3.1622776601683795,0,0.00023036510466410982,0.00021031413823634456,21.191529512405396
gum,msnbc,10000,32,2,1.0,0,0.0007032593825727114,0.000639324965985337,22.25056505203247
convex,msnbc,10000,4,3,1.0,0,0.012432510288749258,0.015517518278035092,63.57689905166626
gum,msnbc,10000,32,2,0.01,0,0.06910992247257088,0.03710168580470976,29.02758502960205
gum,msnbc,10000,32,2,10.0,0,7.990926162496308e-05,7.269309670378574e-05,22.159947633743286
gum,titanic,10000,16,3,1.0,0,2.2230886745142113,0.24309083202894644,65.9908127784729
gum,titanic,10000,32,2,0.1,0,7.769769904276937,0.33310502218347243,41.02447700500488
gum,titanic,10000,32,2,0.31622776601683794,0,2.4665419904070887,0.20723954842942052,41.44420075416565
gum,titanic,10000,32,2,3.1622776601683795,0,0.25857066647888227,0.049241167064885245,41.175058126449585
gum,titanic,10000,32,2,1.0,0,0.7893654185363369,0.109349609692235,41.9246027469635
gum,titanic,10000,32,2,10.0,0,0.08969323312369172,0.01937887083778163,40.38703465461731
exact,titanic,10000,1,3,1.0,0,0.056102312706933805,0.04358597627069646,92.88784289360046
exact,titanic,10000,2,3,1.0,0,2.2421422935697146,0.19360485727157237,93.35354161262512
exact,titanic,10000,2,2,1.0,0,0.03532828812984559,0.03239457893297021,99.65962290763855
gum,adult,10000,32,2,0.01,0,4.917966759071849,0.2642663388124113,89.32031917572021
exact,titanic,10000,1,2,1.0,0,0.03350560173837916,0.028839661953629196,103.04996538162231
gum,adult,10000,32,2,0.1,0,0.4925958850038669,0.07135025111642533,90.2627809047699
convex,stroke,10000,4,3,1.0,0,0.9308508381245704,0.028150531675724844,119.06540060043335
gum,adult,10000,32,2,0.03162277660168379,0,1.5558055871758567,0.13403153890379835,94.0907461643219
gum,adult,10000,32,2,0.31622776601683794,0,0.15637637274109845,0.03422022014952712,92.97960448265076
gum,adult,10000,32,2,10.0,0,0.0056864640901531024,0.0018531116338632307,91.06631302833557
gum,adult,10000,32,2,3.1622776601683795,0,0.016393129765669427,0.005223476825097007,95.54054951667786
gum,adult,10000,32,2,1.0,0,0.05004500284124442,0.013963587950168332,95.83118104934692
convex,adult,10000,8,2,1.0,0,0.05472308603801748,0.01864789516962683,145.3036971092224
gum,msnbc,10000,8,3,1.0,0,0.012500441359116219,0.006933807665023107,117.58026242256165
exact,adult,10000,1,3,1.0,0,0.002604891090576698,0.0025025938441680506,148.32057666778564
exact,titanic,10000,4,2,1.0,0,0.314270725716887,0.0643634715352887,116.08901810646057
convex,fire,10000,8,2,1.0,0,0.001741899901123208,0.0014568006327606421,152.93313145637512
exact,fire,10000,2,3,1.0,0,0.01315443898998395,0.004144150655503934,156.04705166816711
exact,fire,10000,1,3,1.0,0,0.025984592671654462,0.0074713479694819875,163.78040170669556
exact,fire,10000,4,3,1.0,0,0.017666792804939477,0.0031854204837501263,157.3393533229828
convex,titanic,10000,4,2,1.0,0,0.314270725716887,0.06324491233099064,107.92626452445984
exact,fire,10000,2,2,1.0,0,0.0014338269249267372,0.001002089025139227,168.5194263458252
gum,stroke,10000,4,3,1.0,0,0.9308508381245704,0.01985607711784702,141.15115022659302
exact,fire,10000,1,2,1.0,0,0.002142595931833997,0.0014846210998879722,169.54593539237976
exact,fire,10000,4,2,1.0,0,0.0014649596488960082,0.0009012265986118621,170.9408996105194
exact,adult,10000,2,3,1.0,0,0.0030368344569771735,0.002482059494259616,170.51209092140198
gum,titanic,10000,32,2,0.01,0,77.57163889944162,0.8546250747059935,55.36329388618469
gum,titanic,10000,32,2,0.03162277660168379,0,24.539895269425532,0.48695757773539605,55.30013632774353
exact,adult,10000,4,2,1.0,0,0.044696481398935825,0.02246157478072285,175.9139380455017
exact,adult,10000,1,2,1.0,0,0.05772062529731398,0.04599709246373945,177.66699051856995
exact,titanic,10000,4,3,1.0,0,2.5245963024060067,0.2593278774039063,136.30356621742249
exact,adult,10000,2,2,1.0,0,0.04807452156188577,0.033057169274845824,180.97886300086975
convex,msnbc,10000,8,2,1.0,0,0.000701331550107708,0.0011535257580549138,172.499591588974
convex,titanic,10000,4,3,1.0,0,2.5245963024060067,0.26083644955895346,154.30231928825378
exact,fire,10000,8,2,1.0,0,0.001741899901123208,0.0012457453912896972,205.05290937423706
exact,titanic,10000,8,2,1.0,0,0.38704254974409297,0.11857195889718816,163.9013020992279
convex,stroke,10000,16,2,1.0,0,0.03501860990392712,0.005119143095749606,198.8006055355072
exact,msnbc,10000,4,2,1.0,0,0.0007145285849080005,0.0010799930991475908,191.40054845809937
exact,adult,10000,8,2,1.0,0,0.05472308603801748,0.01854646166109256,222.01345086097717
exact,msnbc,10000,4,3,1.0,0,0.012432510288749258,0.009937034010363346,196.4770290851593
convex,titanic,10000,8,2,1.0,0,0.38704254974409297,0.11884732534813466,185.41892266273499
gum,stroke,10000,8,3,1.0,0,0.8347542937355507,0.06518876024378596,233.87435698509216
gum,stroke,10000,32,2,1.0,0,0.19383236537684756,0.008253533026774711,237.9419069290161
gum,msnbc,10000,16,3,1.0,0,0.012518717269755219,0.007078508832077763,234.52780628204346
exact,titanic,10000,8,3,1.0,0,1.7501702466953144,0.18164250639761234,223.02230525016785
exact,titanic,10000,16,2,1.0,0,0.3402009843282561,0.08398531916471856,233.09750318527222
exact,fire,10000,16,2,1.0,0,0.0012377568024408063,0.000855278317300941,276.26079869270325
convex,loans,10000,8,2,1.0,0,0.8777147751196834,0.11872619832458106,268.6691358089447
exact,msnbc,10000,8,2,1.0,0,0.000701331550107708,0.001369285386564387,256.82896971702576
convex,stroke,10000,8,3,1.0,0,0.8347542937355507,0.06684587063689264,267.9612526893616
gum,adult,10000,64,2,1.0,0,0.0763143501969607,0.01849683912411954,288.5592038631439
gum,stroke,10000,32,2,0.01,0,19.04807824228913,0.18918438458875925,238.48885011672974
convex,fire,10000,8,3,1.0,0,0.024723071605903413,0.007735260246221269,302.3693058490753
convex,adult,10000,4,3,1.0,0,1.467072247512183,0.08100248317704342,302.5207016468048
gum,stroke,10000,32,2,0.03162277660168379,0,6.025885900845176,0.09043541149824218,243.84296369552612
gum,stroke,10000,32,2,0.31622776601683794,0,0.6056709061164876,0.018717306053972194,242.49934649467468
exact,fire,10000,8,3,1.0,0,0.024723071605903413,0.005729999912013675,305.5490231513977
exact,msnbc,10000,1,2,1.0,0,0.0006890561740001384,0.0007887379007929221,210.77592253684998
exact,msnbc,10000,1,3,1.0,0,0.012365950547788798,0.011899473092035715,188.08173251152039
exact,msnbc,10000,2,3,1.0,0,0.012413324555967175,0.010372428398538969,179.26464986801147
gum,stroke,10000,32,2,0.1,0,1.9079032899266966,0.04091510294835295,255.9572789669037
exact,msnbc,10000,2,2,1.0,0,0.0007255932938173117,0.0008120929949670499,289.65811467170715
gum,stroke,10000,32,2,3.1622776601683795,0,0.06349323484882631,0.004047970097998487,247.11160731315613
gum,stroke,10000,32,2,1.0,0,0.19383236537684756,0.008253533026774711,250.52235579490662
gum,stroke,10000,32,2,10.0,0,0.02202459231986469,0.0016713754534903424,253.35535097122192
convex,msnbc,10000,8,3,1.0,0,0.012500441359116219,0.017056612868514884,306.369487285614
gum,stroke,10000,64,2,1.0,0,0.15353170968351543,0.008982651165467053,338.75941944122314
exact,msnbc,10000,16,2,1.0,0,0.0006981113189786932,0.0014068863866229723,339.3984696865082
convex,titanic,10000,8,3,1.0,0,1.7501702466953144,0.18947260945083727,341.6963050365448
convex,fire,10000,16,2,1.0,0,0.0012377568024408063,0.001175004640319596,418.5418734550476
gum,stroke,10000,16,3,1.0,0,0.8003629719807985,0.052580415607579985,434.3507959842682
convex,msnbc,10000,16,2,1.0,0,0.0006981113189786932,0.0011673176629392408,448.91495060920715
convex,adult,10000,16,2,1.0,0,0.08506673172948724,0.020309665294414348,487.30310797691345
exact,adult,10000,4,3,1.0,0,1.467072247512183,0.08008271336921237,492.2782287597656
gum,msnbc,10000,32,3,1.0,0,0.012537691231236322,0.007043536739617341,478.9428741931915
gum,msnbc,10000,32,3,1.0,0,0.012537691231236322,0.007043536739617341,466.9747884273529
gum,msnbc,10000,32,3,0.03162277660168379,0,0.3897733831631883,0.05959988243997823,473.0149567127228
gum,msnbc,10000,32,3,3.1622776601683795,0,0.004106943503781043,0.002692087099405247,471.061194896698
convex,titanic,10000,16,2,1.0,0,0.3402009843282561,0.08562767995149902,523.94922041893
exact,msnbc,10000,8,3,1.0,0,0.012500441359116219,0.016105081962118087,532.0742964744568
gum,msnbc,10000,32,3,10.0,0,0.0014246203799012545,0.0009374741948373087,481.89942359924316
convex,loans,10000,16,2,1.0,0,0.5881121902627982,0.07688935651302214,556.2092885971069
gum,msnbc,10000,32,3,0.31622776601683794,0,0.03917671227850927,0.016117819900052656,502.88721656799316
gum,msnbc,10000,32,3,0.1,0,0.12340922684224793,0.03277525595963411,509.75893330574036
exact,loans,10000,1,2,1.0,0,0.01989026855258729,0.0007145511976922103,594.031256198883
convex,stroke,10000,16,3,1.0,0,0.8003629719807985,0.0573901067968549,636.7863495349884
gum,fire,10000,32,3,1.0,0,0.0307386109436283,0.004104844656733265,659.3386590480804
gum,fire,10000,32,3,0.03162277660168379,0,0.9556059533022631,0.07013969302120025,641.3165991306305
gum,fire,10000,32,3,10.0,0,0.0034927364849317894,0.00044705053277443963,654.217896938324
gum,fire,10000,32,3,0.31622776601683794,0,0.09604939973153374,0.011132378226776702,664.8551805019379
gum,fire,10000,32,3,0.1,0,0.30256194229021277,0.02921592369474089,671.0147020816803
gum,fire,10000,32,3,1.0,0,0.0307386109436283,0.004104844656733265,674.8602683544159
gum,fire,10000,32,3,0.01,0,3.0207105256914635,0.16873003747217757,681.3760454654694
convex,adult,10000,8,3,1.0,0,0.9236145369553018,0.05528400370868282,783.6890709400177
convex,fire,10000,16,3,1.0,0,0.016463622227505928,0.006092233134597618,788.4948706626892
convex,titanic,10000,16,3,1.0,0,2.2230886745142113,0.22609465638455106,765.1334829330444
gum,fire,10000,32,3,3.1622776601683795,0,0.01006897810784089,0.0014192856780872445,768.2181310653687
gum,stroke,10000,128,2,1.0,0,0.16566269665491618,0.010132591321466477,814.8757622241974
convex,msnbc,10000,16,3,1.0,0,0.012518717269755219,0.030595762692927124,831.1051018238068
exact,loans,10000,4,2,1.0,0,0.30989298985987374,0.04915720245498918,860.8971793651581
exact,titanic,10000,16,3,1.0,0,2.2230886745142113,0.2113946531531472,833.7086894512177
exact,loans,10000,2,2,1.0,0,0.32220463025349205,0.016230036117344505,892.1558816432953
exact,loans,10000,1,3,1.0,0,0.937435499792632,0.1736353016381678,940.4980361461639
convex,stroke,10000,32,2,1.0,0,0.19383236537684756,0.007805848890633946,951.7753365039825
gum,msnbc,10000,64,3,1.0,0,0.012556811601502186,0.00689127569259889,958.4602994918823
convex,fire,10000,32,2,1.0,0,0.001672638858374761,0.001289062071442633,1011.6576201915741
convex,msnbc,10000,32,2,0.31622776601683794,0,0.002197485165336653,0.002051404172378951,947.5541415214539
convex,msnbc,10000,32,2,1.0,0,0.0007032593825727114,0.0011132580198411606,986.0375208854675
convex,stroke,10000,32,2,0.1,0,1.9079032899266966,0.04066323061616771,956.5573334693909
convex,fire,10000,32,2,10.0,0,0.00019005695402027223,0.0009525932362475596,974.3322851657867
convex,adult,10000,32,2,1.0,0,0.05004500284124442,0.012222827969311149,1018.5371458530426
convex,stroke,10000,32,2,0.31622776601683794,0,0.6056709061164876,0.017824089795005885,964.5770444869995
convex,fire,10000,32,2,0.31622776601683794,0,0.005226519786764649,0.002567655911992491,982.2975516319275
convex,stroke,10000,32,2,0.03162277660168379,0,6.025885900845176,0.09111845724347983,967.7567486763
convex,stroke,10000,32,2,0.01,0,19.04807824228913,0.18813375129582047,971.7289204597473
convex,fire,10000,32,2,3.1622776601683795,0,0.0005479025736779579,0.0010049416725286388,986.8888218402863
convex,msnbc,10000,32,2,1.0,0,0.0007032593825727114,0.0011132580198412443,967.6282458305359
gum,loans,10000,8,2,1.0,0,0.8777147751196834,0.12278654999655085,1039.28165268898
gum,fire,10000,64,3,1.0,0,0.03749670138741929,0.00399709642967931,1062.3651101589203
convex,adult,10000,32,2,0.1,0,0.4925958850038669,0.06374395229282193,1020.0070185661316
convex,adult,10000,32,2,0.01,0,4.917966759071849,0.2396045381853641,1025.1562986373901
convex,stroke,10000,32,2,1.0,0,0.19383236537684756,0.007805848890633977,1031.7829625606537
convex,msnbc,10000,32,2,0.1,0,0.006922223164710762,0.005379148813750676,1024.681077003479
convex,adult,10000,32,2,1.0,0,0.05004500284124442,0.012222827969311097,1045.7725903987885
exact,loans,10000,8,2,1.0,0,0.8777147751196834,0.1190583681077188,1099.0388758182526
convex,adult,10000,32,2,0.31622776601683794,0,0.15637637274109845,0.029114103009475954,1061.8313763141632
convex,stroke,10000,32,2,3.1622776601683795,0,0.06349323484882631,0.00351304512522519,1051.8503165245056
convex,adult,10000,32,2,0.03162277660168379,0,1.5558055871758567,0.1282001951376564,1069.9264078140259
convex,adult,10000,32,2,3.1622776601683795,0,0.016393129765669427,0.005316452769451585,1072.5441348552704
convex,titanic,10000,32,2,1.0,0,0.7893654185363369,0.09519648861795584,1090.360166311264
convex,adult,10000,32,2,10.0,0,0.0056864640901531024,0.0032788349309718534,1074.4079999923706
convex,fire,10000,32,2,0.1,0,0.016463881945350395,0.0068219281263769355,1094.875150680542
convex,titanic,10000,32,2,0.31622776601683794,0,2.4665419904070887,0.1875016671603123,1099.8539338111877
convex,fire,10000,32,2,0.03162277660168379,0,0.05199921537505084,0.018496448613004306,1135.4596576690674
convex,titanic,10000,32,2,3.1622776601683795,0,0.25857066647888227,0.04297206635714977,1110.1456651687622
convex,titanic,10000,32,2,10.0,0,0.08969323312369172,0.01792698192786194,1110.3392724990845
convex,titanic,10000,32,2,1.0,0,0.7893654185363369,0.09519648861795565,1112.717679977417
convex,msnbc,10000,32,2,0.03162277660168379,0,0.021863019572830173,0.014446723141713117,1117.8602411746979
convex,titanic,10000,32,2,0.1,0,7.769769904276937,0.3473678360660759,1117.2535121440887
convex,fire,10000,32,2,1.0,0,0.001672638858374761,0.001289062071442648,1147.3215289115906
convex,msnbc,10000,32,2,0.01,0,0.06910992247257088,0.03383779022908105,1122.8051364421844
convex,fire,10000,32,2,0.01,0,0.16437170223596323,0.04857575711608316,1151.8055942058563
convex,msnbc,10000,32,2,3.1622776601683795,0,0.00023036510466410982,0.000970145155576483,1145.5956983566284
convex,msnbc,10000,32,2,10.0,0,7.990926162496308e-05,0.0009624743275097929,1147.5487184524536
gum,loans,10000,16,2,1.0,0,0.5881121902627982,0.08019301572559587,1224.8873710632324
gum,stroke,10000,32,3,1.0,0,0.9046524901624053,0.04305256091010544,1219.8493993282318
convex,stroke,10000,32,2,10.0,0,0.02202459231986469,0.001947257812556056,1187.7560515403748
gum,stroke,10000,256,2,1.0,0,0.12903866326784116,0.009526338760992304,1245.224912405014
gum,stroke,10000,32,3,0.1,0,8.904547281696606,0.1733436415461073,1228.2186191082
gum,stroke,10000,32,3,0.03162277660168379,0,28.12395481546991,0.27373266039448035,1242.331084728241
gum,stroke,10000,32,3,1.0,0,0.9046524901624053,0.04305256091010544,1240.3446216583252
exact,loans,10000,16,2,1.0,0,0.5881121902627982,0.07710667897638879,1293.1577763557434
gum,stroke,10000,32,3,0.31622776601683794,0,2.8267812363117746,0.09146937999483189,1244.2916247844696
gum,stroke,10000,32,3,0.01,0,88.90100154942168,0.4466736981061801,1253.2609317302704
exact,stroke,10000,8,2,1.0,0,0.06015474857442032,0.00935188490326313,1294.560117483139
convex,titanic,10000,32,2,0.01,0,77.57163889944162,0.8227496521826791,1241.9614441394806
convex,titanic,10000,32,2,0.03162277660168379,0,24.539895269425532,0.5289841526778946,1251.3942124843597
gum,stroke,10000,32,3,3.1622776601683795,0,0.2963349949467109,0.017909632807068702,1267.8307130336761
exact,stroke,10000,4,2,1.0,0,0.1072696180054964,0.01407286583553693,1321.4820010662079
gum,stroke,10000,32,3,10.0,0,0.10279295848368823,0.007041945594670745,1279.6476349830627
exact,stroke,10000,16,2,1.0,0,0.03501860990392712,0.005083351243142272,1324.7182261943817
exact,stroke,10000,2,3,1.0,0,0.15363278555719562,0.014261268219354403,1354.2938878536224
exact,stroke,10000,1,3,1.0,0,0.2190820991096294,0.02040759252473655,1361.327198266983
exact,stroke,10000,1,2,1.0,0,0.01645163601868305,0.015374538549220088,1377.834235906601
exact,stroke,10000,2,2,1.0,0,0.012904046958741906,0.010726440072095708,1386.341645002365
gum,fire,10000,128,3,1.0,0,0.02654637334093429,0.003418076638501556,1409.9935805797577
gum,titanic,10000,32,3,1.0,0,9.33511463994546,0.20246634528996593,1379.6996960639954
gum,adult,10000,4,3,1.0,0,1.467072247512183,0.06296909115099417,1436.0997767448425
gum,titanic,10000,32,3,3.1622776601683795,0,3.057882645255956,0.1048782082133732,1362.631673336029
gum,titanic,10000,32,3,0.1,0,91.88607846149824,0.5052285604272682,1400.0697383880615
gum,titanic,10000,32,3,10.0,0,1.0607211742180878,0.04515989716160598,1403.5511887073517
gum,titanic,10000,32,3,0.31622776601683794,0,29.169573057030867,0.330495100707279,1393.4511964321136
gum,titanic,10000,32,3,0.01,0,917.3699847118471,0.5786847799876738,1406.0621592998505
gum,titanic,10000,32,3,1.0,0,9.33511463994546,0.20246634528996593,1411.538076877594
gum,titanic,10000,32,3,0.03162277660168379,0,290.21126364658096,0.5949173914520035,1439.3106203079224
gum,adult,10000,8,3,1.0,0,0.9236145369553018,0.05043866391215472,1549.5543777942657
convex,loans,10000,32,2,0.31622776601683794,0,1.7480648862443224,0.10375010829951067,1520.5456035137177
convex,loans,10000,32,2,1.0,0,0.5594317777380249,0.06277022193534157,1596.4247877597809
convex,loans,10000,32,2,10.0,0,0.06356656078308826,0.029152053359519328,1558.6618931293488
convex,stroke,10000,32,3,0.1,0,8.904547281696606,0.17798873941366714,1564.1295733451843
convex,loans,10000,32,2,1.0,0,0.5594317777380249,0.06277022193534158,1575.9444527626038
convex,stroke,10000,32,3,1.0,0,0.9046524901624053,0.047982405577312336,1632.899808883667
convex,loans,10000,32,2,0.01,0,54.97585634297596,0.46819025921917,1606.0443267822266
convex,stroke,10000,32,3,0.03162277660168379,0,28.12395481546991,0.2989892104782395,1602.2411749362946
convex,stroke,10000,32,3,1.0,0,0.9046524901624053,0.04798240557731229,1600.197205543518
convex,loans,10000,32,2,0.03162277660168379,0,17.391688201308895,0.27817395581646137,1611.9251606464386
convex,adult,10000,16,3,1.0,0,1.0368271046196302,0.05445026009436901,1672.1597566604614
convex,stroke,10000,32,3,0.01,0,88.90100154942168,0.48277294782679214,1615.486365556717
convex,stroke,10000,32,3,0.31622776601683794,0,2.8267812363117746,0.09789968488464733,1615.262685060501
convex,loans,10000,32,2,3.1622776601683795,0,0.18325181750095662,0.03704100976008817,1626.9345541000366
exact,adult,10000,16,2,1.0,0,0.08506673172948724,0.019588439088123754,1682.5632708072662
convex,stroke,10000,32,3,3.1622776601683795,0,0.2963349949467109,0.02281841336985638,1634.960571527481
convex,loans,10000,32,2,0.1,0,5.5065196524883735,0.16640082544448734,1652.789530992508
convex,stroke,10000,32,3,10.0,0,0.10279295848368823,0.014216622518676078,1702.964998960495
