oracle,iters,attributes,domain,measurements,records,temperature,epsilon,seed,learning_rate,selection,skiperror,time,error_in,error_out,baseline_in,dist_noisy
exact,25,100,10,42,10000,3.0,1.0,0,1e-05,greedy,True,1.925168752670288,,,,
exact,25,100,10,91,10000,3.0,1.0,0,1e-05,greedy,True,2.610006809234619,,,,
approx,25,100,10,24,10000,3.0,1.0,0,1e-05,greedy,True,2.6175923347473145,,,,
exact,25,100,10,35,10000,3.0,1.0,0,1e-05,random,True,2.4831364154815674,,,,
exact,25,100,10,75,10000,3.0,1.0,0,1e-05,greedy,True,2.3315744400024414,,,,
approx,25,100,10,29,10000,3.0,1.0,0,1e-05,greedy,True,3.09155011177063,,,,
approx,25,100,10,35,10000,3.0,1.0,0,1e-05,random,True,2.7238690853118896,,,,
approx,25,100,10,51,10000,3.0,1.0,0,1e-05,random,True,4.653865337371826,,,,
approx,25,100,10,42,10000,3.0,1.0,0,1e-05,random,True,3.6180741786956787,,,,
exact,25,100,10,193,10000,3.0,1.0,0,1e-05,greedy,True,4.902082681655884,,,,
approx,25,100,10,35,10000,3.0,1.0,0,1e-05,greedy,True,3.8613650798797607,,,,
approx,25,100,10,42,10000,3.0,1.0,0,1e-05,greedy,True,4.622246265411377,,,,
approx,25,100,10,51,10000,3.0,1.0,0,1e-05,greedy,True,5.663043260574341,,,,
approx,25,100,10,62,10000,3.0,1.0,0,1e-05,random,True,5.972886562347412,,,,
exact,25,100,10,232,10000,3.0,1.0,0,1e-05,greedy,True,5.76846718788147,,,,
approx,25,100,10,91,10000,3.0,1.0,0,1e-05,greedy,True,11.281228065490723,,,,
approx,25,100,10,62,10000,3.0,1.0,0,1e-05,greedy,True,6.905750036239624,,,,
approx,25,100,10,75,10000,3.0,1.0,0,1e-05,random,True,7.5549750328063965,,,,
approx,25,100,10,109,10000,3.0,1.0,0,1e-05,random,True,12.63030457496643,,,,
exact,25,100,10,281,10000,3.0,1.0,0,1e-05,greedy,True,6.931477785110474,,,,
approx,25,100,10,75,10000,3.0,1.0,0,1e-05,greedy,True,8.27556562423706,,,,
approx,25,100,10,109,10000,3.0,1.0,0,1e-05,greedy,True,13.241477489471436,,,,
approx,25,100,10,91,10000,3.0,1.0,0,1e-05,random,True,9.559142589569092,,,,
approx,25,100,10,132,10000,3.0,1.0,0,1e-05,random,True,15.463354587554932,,,,
exact,25,100,10,42,10000,3.0,1.0,0,1e-05,random,True,12.448744297027588,,,,
approx,25,100,10,132,10000,3.0,1.0,0,1e-05,greedy,True,16.65364408493042,,,,
approx,25,100,10,159,10000,3.0,1.0,0,1e-05,random,True,19.0676589012146,,,,
approx,25,100,10,159,10000,3.0,1.0,0,1e-05,greedy,True,20.20293378829956,,,,
exact,25,100,10,339,10000,3.0,1.0,0,1e-05,greedy,True,11.850043773651123,,,,
approx,25,100,10,193,10000,3.0,1.0,0,1e-05,random,True,24.206305742263794,,,,
approx,25,100,10,193,10000,3.0,1.0,0,1e-05,greedy,True,25.759745121002197,,,,
approx,25,100,10,232,10000,3.0,1.0,0,1e-05,random,True,29.314937829971313,,,,
approx,25,100,10,232,10000,3.0,1.0,0,1e-05,greedy,True,31.401758432388306,,,,
exact,25,100,10,409,10000,3.0,1.0,0,1e-05,greedy,True,18.770922660827637,,,,
exact,25,100,10,494,10000,3.0,1.0,0,1e-05,greedy,True,27.15294051170349,,,,
approx,25,100,10,281,10000,3.0,1.0,0,1e-05,greedy,True,38.419527530670166,,,,
approx,25,100,10,281,10000,3.0,1.0,0,1e-05,random,True,39.66012167930603,,,,
approx,25,100,10,339,10000,3.0,1.0,0,1e-05,greedy,True,44.87934708595276,,,,
approx,25,100,10,339,10000,3.0,1.0,0,1e-05,random,True,47.25365161895752,,,,
exact,25,100,10,596,10000,3.0,1.0,0,1e-05,greedy,True,47.31143617630005,,,,
approx,25,100,10,409,10000,3.0,1.0,0,1e-05,greedy,True,57.05340361595154,,,,
approx,25,100,10,409,10000,3.0,1.0,0,1e-05,random,True,58.428982734680176,,,,
approx,25,100,10,494,10000,3.0,1.0,0,1e-05,greedy,True,66.48096752166748,,,,
approx,25,100,10,494,10000,3.0,1.0,0,1e-05,random,True,75.80845880508423,,,,
approx,25,100,10,596,10000,3.0,1.0,0,1e-05,greedy,True,84.28987717628479,,,,
approx,25,100,10,596,10000,3.0,1.0,0,1e-05,random,True,92.20990920066833,,,,
approx,25,100,10,719,10000,3.0,1.0,0,1e-05,greedy,True,103.61794257164001,,,,
approx,25,100,10,719,10000,3.0,1.0,0,1e-05,random,True,109.1726803779602,,,,
exact,25,100,10,719,10000,3.0,1.0,0,1e-05,greedy,True,134.6854166984558,,,,
approx,25,100,10,868,10000,3.0,1.0,0,1e-05,greedy,True,127.45759797096252,,,,
approx,25,100,10,868,10000,3.0,1.0,0,1e-05,random,True,136.24066376686096,,,,
approx,25,100,10,1048,10000,3.0,1.0,0,1e-05,greedy,True,159.13919734954834,,,,
approx,25,100,10,1048,10000,3.0,1.0,0,1e-05,random,True,165.8507776260376,,,,
approx,25,100,10,1264,10000,3.0,1.0,0,1e-05,random,True,191.85846138000488,,,,
approx,25,100,10,1264,10000,3.0,1.0,0,1e-05,greedy,True,196.56034398078918,,,,
exact,25,100,10,868,10000,3.0,1.0,0,1e-05,greedy,True,249.24741411209106,,,,
approx,25,100,10,1526,10000,3.0,1.0,0,1e-05,greedy,True,227.54135537147522,,,,
