oracle,dataset,iters,measurements,kway,epsilon,seed,noisy_error,error,time
gum,fire,10000,1,2,1.0,0,0.002142595931833997,0.001435186226988979,0.012358665466308594
gum,fire,10000,2,2,1.0,0,0.0020277374833270975,0.0012211678174513458,0.016500234603881836
gum,fire,10000,2,3,1.0,0,0.01860318602504473,0.0037219269105369726,0.16686153411865234
gum,fire,10000,1,3,1.0,0,0.025984592671654462,0.004706288653719565,0.20441865921020508
convex,fire,10000,1,2,1.0,0,0.002142595931833997,0.0014871981621963858,6.369008302688599
convex,fire,10000,1,3,1.0,0,0.025984592671654462,0.007579830636592746,8.626628398895264
convex,fire,10000,2,2,1.0,0,0.0020277374833270975,0.001408515722311461,11.3306884765625
exact,fire,10000,1,3,1.0,0,0.025984592671654462,0.0074713479694819875,157.4904637336731
exact,fire,10000,2,2,1.0,0,0.0020277374833270975,0.001339974243669325,157.9560809135437
exact,fire,10000,1,2,1.0,0,0.002142595931833997,0.0014846210998879722,161.11356019973755
gum,fire,10000,4,2,1.0,0,0.002929919297792018,0.0014278489672123894,1.6304447650909424
gum,fire,10000,8,2,1.0,0,0.004926836928929586,0.0030151693982353373,4.214353084564209
convex,fire,10000,2,3,1.0,0,0.01860318602504473,0.005638268594408776,14.406588554382324
gum,fire,10000,4,3,1.0,0,0.03533358560987894,0.004030186438998198,22.81126880645752
convex,fire,10000,4,2,1.0,0,0.002929919297792018,0.0016406396322751946,44.06636428833008
convex,fire,10000,4,3,1.0,0,0.03533358560987894,0.005742363207104515,73.73863482475281
exact,fire,10000,2,3,1.0,0,0.01860318602504473,0.005574943577622845,149.6647675037384
exact,fire,10000,4,3,1.0,0,0.03533358560987894,0.00552348539979451,150.85759472846985
exact,fire,10000,4,2,1.0,0,0.002929919297792018,0.0015858795324289157,168.07205533981323
exact,fire,10000,8,2,1.0,0,0.004926836928929586,0.0031063315723166983,194.54081010818481
gum,fire,10000,16,2,1.0,0,0.004951027209763218,0.002853674587606675,6.837348222732544
gum,fire,10000,8,3,1.0,0,0.06992740633717957,0.01038226559319337,72.32738757133484
gum,fire,10000,16,3,1.0,0,0.06585448891002371,0.010948560405408349,82.29475903511047
convex,fire,10000,8,2,1.0,0,0.004926836928929586,0.0031941919069386924,152.65711379051208
exact,fire,10000,16,2,1.0,0,0.004951027209763218,0.0028342808433786397,272.16256380081177
convex,fire,10000,8,3,1.0,0,0.06992740633717957,0.014227693514269873,306.44020080566406
exact,fire,10000,8,3,1.0,0,0.06992740633717957,0.013494112556746403,309.46574234962463
convex,fire,10000,16,2,1.0,0,0.004951027209763218,0.0029622769056586867,411.4146144390106
gum,fire,10000,32,2,1.0,0,0.009461874233863351,0.004141275179184918,18.52234435081482
gum,fire,10000,64,2,1.0,0,0.011314527033781116,0.0054676265223618575,31.111228704452515
convex,fire,10000,16,3,1.0,0,0.06585448891002371,0.014377476591982923,749.8508055210114
gum,fire,10000,32,3,1.0,0,0.1738838419399568,0.01837707274259759,692.2674524784088
gum,fire,10000,64,3,1.0,0,0.29997361109935433,0.023704398747510035,1104.5480587482452
