iters,epsilon,seed,FEM_L1,PGM_L1,FEM_Linf,PGM_Linf
10000,0.1,2457026461,0.5445607399120386,0.4956340122991133,0.15006050397475812,0.20687215667189623
10000,0.1,2094276510,0.5659373820659446,0.5369490218663825,0.14975111141607192,0.1869367133022942
10000,0.1,1961979125,0.5919218094445742,0.5487147176153329,0.19812011593920606,0.19161654053905205
10000,0.1,2378741324,0.5499045235630168,0.5424300007891586,0.16779586023105944,0.21055252013686881
10000,0.1,2643031147,0.5836597168116275,0.517964316816014,0.18735791194330975,0.18443378221243134
10000,0.15,1961979125,0.5649932637614422,0.5315030876192978,0.12215613238978376,0.14501152765769443
10000,0.15,2457026461,0.519332777118054,0.47133629747515765,0.1444854242436651,0.14593903507325168
10000,0.15,2094276510,0.5224648318697398,0.5035029057829595,0.1237497384888564,0.15499180980412158
10000,0.15,2378741324,0.507734589455424,0.4792040079206215,0.12614559004731396,0.1351386706348326
10000,0.15,2643031147,0.5572063958087488,0.523446384045308,0.14332521563036282,0.15851948953217082
10000,0.2,2457026461,0.4909844786067234,0.4565523620050821,0.08713128662564724,0.10502956010427014
10000,0.2,1961979125,0.547664883250885,0.5070208829914606,0.09890347012143715,0.1214018265262933
10000,0.2,2094276510,0.5046044948963193,0.4529074111423705,0.10362397509890714,0.14111149468959686
10000,0.2,2643031147,0.5368580546343732,0.49358506453185946,0.1256926640164287,0.14027949910387877
10000,0.2,2378741324,0.49307416548075345,0.44408297009103676,0.1080677364473536,0.13927695593598843
10000,0.25,2457026461,0.4783533374622934,0.4459785416947083,0.08899691067341858,0.10626485600617769
10000,0.25,2094276510,0.49107300098048584,0.44346542101772335,0.09963006337896801,0.10487929766454396
10000,0.25,1961979125,0.5325143916438039,0.4921982109828893,0.10518561893452358,0.11387345944273343
10000,0.25,2643031147,0.5155143563827124,0.471990882398883,0.0937741288235535,0.13765096621386083
10000,0.25,2378741324,0.47399305555555543,0.4264305429850642,0.08740083443666427,0.08456990004092385
