iters,epsilon,seed,FEM_L1,PGM_L1,FEM_Linf,PGM_Linf
10000,0.1,1961979125,0.6009046915066453,0.603001589125002,0.15948084114580163,0.18443799555930818
10000,0.1,2457026461,0.5426795450885757,0.5336060894647283,0.17768973756525452,0.18219745931310605
10000,0.1,2094276510,0.5749950481530627,0.5374834258041536,0.16534989270421893,0.2395223286495032
10000,0.1,2378741324,0.5562538734939028,0.5358484462801646,0.1824974296601175,0.21096228616794233
10000,0.1,2643031147,0.5771247148140113,0.5486026680857133,0.14982818287760755,0.19111883022784074
10000,0.15,2457026461,0.5097043646768243,0.5112619018998042,0.1536816078561298,0.17459897506996022
10000,0.15,1961979125,0.5624620452870293,0.5532781914901771,0.12033795057160195,0.1765569956948571
10000,0.15,2094276510,0.5092858540153594,0.5352999624643069,0.12528306859595506,0.1766501672946509
10000,0.15,2643031147,0.5485901859800246,0.5082958685097512,0.146564395025146,0.1595275977716667
10000,0.15,2378741324,0.5103287527779741,0.4744407785202288,0.12323649913822307,0.15522947472475943
10000,0.2,1961979125,0.5499982353288462,0.5435419530262349,0.12198013948246877,0.14696433357258173
10000,0.2,2094276510,0.49925931193145595,0.46966815146655705,0.10828150934548247,0.13196380751804426
10000,0.2,2457026461,0.49389878121821945,0.46873258151691355,0.10993067385862046,0.14835335076433268
10000,0.2,2378741324,0.5044727558052722,0.4481441961589665,0.12660885281194662,0.1287585447866858
10000,0.2,2643031147,0.5357827257012127,0.504853105299192,0.11204686287851295,0.16755861314134088
10000,0.25,1961979125,0.5264053206996254,0.49262110312029606,0.11213593036958173,0.11946535954406605
10000,0.25,2457026461,0.4821175626111862,0.43622577812839697,0.09631545709748895,0.14415073613398854
10000,0.25,2094276510,0.5039190048466939,0.46751775195013356,0.10909984576116183,0.12945920128351146
10000,0.25,2378741324,0.47768597197198215,0.4447238069173916,0.09957993348165742,0.12642261542969765
10000,0.25,2643031147,0.5277155403875989,0.5063836718689501,0.10444079549022016,0.13787020031081323
10000,0.5,1961979125,0.4990133413745016,0.5096416589595129,0.08177218114549732,0.4021272288757708
10000,0.5,2094276510,0.4610384857575184,0.4480267126524426,0.0757083643782174,0.3481874900876172
10000,0.5,2457026461,0.4426892279809323,0.44444050782928074,0.07895425655957336,0.35965303008452487
10000,0.5,2378741324,0.4394465078680338,0.4294431447474805,0.07442983291923633,0.4059522524978033
10000,0.5,2643031147,0.49160884599903587,0.48150779099668806,0.07949309127893636,0.5462175968210117
10000,1.0,1961979125,0.4772319463622121,0.5800177001840513,0.068171588451821,0.41024797207609554
10000,1.0,2457026461,0.4187071622202412,0.485226413738328,0.07552655084988677,0.41646533635925764
10000,1.0,2094276510,0.4365133523115698,0.48075676047080385,0.08230590880267215,0.41646533521665074
10000,1.0,2378741324,0.41237764163940815,0.4496322258477737,0.07149178592010165,0.6178959677204896
10000,1.0,2643031147,0.4629565447270074,0.51910698311941,0.07157956579465159,0.4773099884202969
