titanic,2457026461,0.31622776601683794,MB,1.178742169375526 
titanic,2457026461,10.0,MB,0.595453766823235 
titanic,2457026461,1.0,MB,0.7873410368387368 
titanic,2457026461,3.1622776601683795,MB,0.6144877503935268 
titanic,2457026461,0.1,MB,1.1082286855211032 
titanic,2643031147,0.1,MB,1.2758672858875106 
titanic,2643031147,0.31622776601683794,MB,0.9233805646386304 
titanic,2643031147,1.0,MB,0.7472959116826777 
titanic,2643031147,3.1622776601683795,MB,0.6699196065587458 
titanic,2643031147,10.0,MB,0.6116384843417114 
adult,2643031147,3.1622776601683795,MB,0.6834087510308234 
adult,2643031147,0.1,MB,0.7005110340231165 
adult,2643031147,10.0,MB,0.6830486271512771 
adult,2457026461,3.1622776601683795,MB,0.6839013644614753 
adult,2457026461,10.0,MB,0.6830755348845617 
adult,2643031147,1.0,MB,0.6849632288529168 
adult,2457026461,1.0,MB,0.6840142017180335 
adult,2643031147,0.31622776601683794,MB,0.6832968064590254 
adult,2457026461,0.31622776601683794,MB,0.6816110314803205 
adult,2457026461,0.1,MB,0.7346967983294344 
titanic,2457026461,10.0,MW,0.5978236367691229 
titanic,2457026461,3.1622776601683795,MW,0.6647996968701465 
stroke,2457026461,10.0,MW,3.7019160606604684 
titanic,2643031147,10.0,MW,0.6161359929714887 
stroke,2457026461,3.1622776601683795,MW,3.691195646915652 
stroke,2457026461,1.0,MW,3.539340762139361 
titanic,2457026461,0.31622776601683794,CVX,1.1588425876566326 
titanic,2457026461,0.1,CVX,1.2754221152974472 
titanic,2457026461,10.0,CVX,1.1824322726306051 
titanic,2643031147,0.1,CVX,1.2919350380648646 
titanic,2457026461,3.1622776601683795,CVX,1.16988492882043 
titanic,2643031147,1.0,CVX,1.2166694667004068 
titanic,2643031147,0.31622776601683794,CVX,1.005822110412315 
titanic,2457026461,1.0,CVX,1.181582056415017 
adult,2094276510,0.1,MB,0.7557726392612097 
titanic,2643031147,10.0,CVX,1.2146969246953279 
adult,2094276510,0.31622776601683794,MB,0.6845332791839863 
adult,2094276510,1.0,MB,0.6834135434517542 
stroke,2643031147,1.0,MW,3.529255719722095 
adult,2094276510,3.1622776601683795,MB,0.6833873482268529 
stroke,2643031147,10.0,MW,3.7064597356319617 
stroke,2643031147,3.1622776601683795,MW,3.7018157470363975 
adult,2094276510,10.0,MB,0.6830784991715747 
stroke,2643031147,0.31622776601683794,MW,3.4788934324761427 
titanic,2094276510,0.1,MB,1.496323519202726 
titanic,2094276510,0.31622776601683794,MB,1.2781189610597752 
titanic,2094276510,1.0,MB,0.6921311241980033 
titanic,2094276510,3.1622776601683795,MB,0.6304905219918621 
titanic,2643031147,3.1622776601683795,CVX,1.1225869240453925 
titanic,2094276510,10.0,MB,0.6665519769626701 
adult,2643031147,3.1622776601683795,CVX,1.3197425332482058 
adult,2643031147,10.0,CVX,1.3216536887671402 
stroke,2457026461,0.31622776601683794,MW,3.5000678838491734 
adult,2643031147,0.1,CVX,0.7934799302500509 
adult,2457026461,10.0,CVX,1.3216568697979156 
adult,2643031147,1.0,CVX,1.2455297562739036 
adult,2643031147,0.31622776601683794,CVX,0.7562606548654607 
adult,2457026461,0.31622776601683794,CVX,0.7416749539825163 
adult,2457026461,3.1622776601683795,CVX,1.298136819752287 
adult,2457026461,0.1,CVX,0.8023065136540716 
adult,2457026461,1.0,CVX,1.3271466464661557 
titanic,2094276510,10.0,MW,0.6616971031578593 
titanic,2094276510,0.1,CVX,1.2817683282827421 
titanic,2643031147,0.1,MW,1.4588805641555675 
titanic,2094276510,0.31622776601683794,CVX,1.2985844295797442 
titanic,2094276510,1.0,CVX,1.2421128665424475 
titanic,2094276510,3.1622776601683795,MW,0.6236467799982784 
titanic,2094276510,3.1622776601683795,CVX,1.2320628915349412 
titanic,2094276510,10.0,CVX,1.1829572387385028 
titanic,2094276510,1.0,MW,0.7412473637747057 
adult,2094276510,0.1,CVX,0.8268919363777301 
adult,2094276510,10.0,CVX,1.3540965545121384 
stroke,2094276510,1.0,MW,3.518301220846193 
adult,2094276510,1.0,CVX,1.2967161629548623 
stroke,2094276510,3.1622776601683795,MW,3.700916746616632 
titanic,2457026461,0.1,MW,1.2257528710249188 
stroke,2094276510,10.0,MW,3.702032437724819 
adult,2094276510,0.31622776601683794,CVX,1.3521016693259076 
adult,2094276510,3.1622776601683795,CVX,1.3197589865726937 
loans,2457026461,1.0,MB,2.9665912127719056 
loans,2457026461,0.31622776601683794,MB,2.9567225476771726 
loans,2457026461,3.1622776601683795,MB,2.965355941854865 
loans,2457026461,10.0,MB,2.9654321848619687 
loans,2643031147,1.0,MB,2.964950903411035 
loans,2643031147,0.31622776601683794,MB,2.9738159156119996 
loans,2643031147,10.0,MB,2.9651698012260876 
loans,2643031147,3.1622776601683795,MB,2.966025569921782 
adult,2378741324,0.1,MB,0.7096043583438517 
adult,2378741324,0.31622776601683794,MB,0.6790407044690672 
adult,2378741324,1.0,MB,0.683967822662248 
adult,2378741324,3.1622776601683795,MB,0.6828266542088978 
adult,2378741324,10.0,MB,0.6830186881424025 
loans,2643031147,0.1,MB,2.483343261508454 
loans,2094276510,0.31622776601683794,MB,2.984968186701242 
loans,2094276510,1.0,MB,2.964297004040759 
loans,2094276510,10.0,MB,2.965390675642744 
loans,2094276510,3.1622776601683795,MB,2.96709156004415 
loans,2457026461,0.1,MB,3.3339950597715253 
adult,2378741324,0.1,CVX,0.8055895367460241 
loans,2094276510,0.1,MB,1.938281938558645 
adult,2378741324,0.31622776601683794,CVX,0.7469636082786414 
